pubkey: 4FgjgcNh3NzFk5pAYNFWZos39LBE1DbD8dBN2fchvvpr | owner: EGruaguaaTjcMZLt7ckDjxhkXzrUqUTBVQRaHFyd2imm | ts: 2026-08-26T15:43:50.000Z | dep: $901.92 | bor: $28600.25 | LTV: 31.7102 | liqThresh: 0.6500
pubkey: 4JdnxAJBuJhwGSnTYwerboBrY9DcmLtrVJVzqFRAYZ9L | owner: 5suAVqXtVBPQY4ycix9yG9HqHcu6yBhXHHQKrUj8hC69 | ts: 2026-08-25T08:17:03.000Z | dep: $694.99 | bor: $28598.43 | LTV: 41.1493 | liqThresh: 0.4000
pubkey: 4MA8A6Hhwa9MoKrE2T2rhj9W9Zv6ikKvackzDscExT7q | owner: GzmKsyfRYSFkj3xBzwhq721GiZgSzgYTx1R8sDqa3nvR | ts: 2026-09-14T22:16:46.000Z | dep: $543.46 | bor: $28626.89 | LTV: 52.6756 | liqThresh: 0.4000
pubkey: 4NaEcmVrY8185bJHwGidMhpjv8hgTAUxquHHCxtSUoYD | owner: Bd4bQQ9M8aZCpuxdSFw9ppQEmBcj1y5u1K1tYL4p7H9h | ts: 2026-09-04T20:17:15.000Z | dep: $10818.46 | bor: $28428.11 | LTV: 2.6277 | liqThresh: 0.4000
pubkey: 4R6EFp4ehvKWMQWH4CGsJHeNAAhuqXEhz2xkjXFcbrFc | owner: Dm5cyqWRzZf7P6icMn2DnEJsBBvLbmeaJQLM4cjJ9oSA | ts: 2026-08-21T17:13:03.000Z | dep: $28.06 | bor: $28593.43 | LTV: 1019.0588 | liqThresh: 0.7000
pubkey: 4SYw74fo4z3kMcKWhsJtyGAEfhp3Qr52LHyEoLr2fx5Q | owner: 4EbRCwPuA1gyXSj5mmy4CA8gVdfoAAUhfpMMDSf5hY9w | ts: 2026-08-31T15:42:20.000Z | dep: $34934.94 | bor: $28607.16 | LTV: 0.8189 | liqThresh: 0.4000
pubkey: 4UN3QELW3qpryxFeu7cDbyxPigQK61wAL8vK69WVJsT7 | owner: EsfzYstiqKwQXUtLQpwiy3kJepZx7D6wc7cuhUTuXzRM | ts: 2026-09-08T13:27:30.000Z | dep: $18851.24 | bor: $28618.09 | LTV: 1.5181 | liqThresh: 0.4000
pubkey: 4UopyHA8VUinrwAJAAMG6tsBz1EFEqqg6CzJQQ1gAF7E | owner: BB5DW7dpdUycKMtWArwRXBLR624hthXwfPMuHVM2sXYc | ts: 2026-09-06T00:57:55.000Z | dep: $25.84 | bor: $200508.33 | LTV: 7760.5740 | liqThresh: 0.6500
pubkey: 4X3RSjMpAVq6H4rSgBrzZLSq5qXwz9nszR1L3fZiPB6J | owner: 8XZA6Bn4DzntpRXC5n1Xz8VJRRrx9FJbX7r9Q9TmiCMH | ts: 2026-08-28T02:21:45.000Z | dep: $43.24 | bor: $28401.52 | LTV: 656.8478 | liqThresh: 0.6500
pubkey: 4YYNmSrn84xZEdJPAucyrPDADcdJmgUc2xuDWZWfBV6M | owner: 9Z69gyqK3MY6ticoLFAG3nE81mbhKNUVXiZD1Z3NAH5C | ts: 2026-09-03T16:42:52.000Z | dep: $2350.39 | bor: $28499.66 | LTV: 12.1255 | liqThresh: 0.6500
pubkey: 4k42prtRxxwARgbs23QZQHPSRHqhEVHJPrFthbMekPvD | owner: 38veUm3Fvad3ww7D75PDUzVnMJBGpEcrrMDwTL9Ap38C | ts: 2026-09-13T09:03:46.000Z | dep: $973.75 | bor: $28557.10 | LTV: 29.3269 | liqThresh: 0.7500
pubkey: 4kK3vqRQRs7av2qXLTEz3BLJacs1pG2gPAViKvi3gzxb | owner: 3WEtqj6V2MNcgsjCdcCjmubBTfG2WM9QX6yLNLATMo3i | ts: 2026-09-15T17:29:43.000Z | dep: $7200.06 | bor: $28627.99 | LTV: 3.9761 | liqThresh: 0.4000
pubkey: 4n7UrVy82Q1Xujzfad5gPpj7QscbfKXS6yLsuGSvDh7y | owner: EG2QyD76Nqd597W2Pd3xDEVb26pCFWsRiXJAvzUZqcVu | ts: 2026-09-02T00:41:30.000Z | dep: $7.75 | bor: $28609.06 | LTV: 3690.4867 | liqThresh: 0.5000
pubkey: 4p3mY9c2zBY16LCVtMzw3CGGSgJnyU2qMSwauA3gkvm1 | owner: EDDpvkMHd4uhbTwcYz2mJPHEscWickAKcd3q3kUmwwW2 | ts: 2026-09-10T07:40:54.000Z | dep: $2026.41 | bor: $28620.52 | LTV: 14.1238 | liqThresh: 0.7500
pubkey: 4pWuvMHVJCaVEUf8h3EWxPPYp4QgkunD4WWyWcj9ffqV | owner: JPLaNo52siAC6KDv66VP9y4eKKtNhwx6yKd8GFcjFGP | ts: 2026-09-12T15:22:37.000Z | dep: $382568.85 | bor: $28571.20 | LTV: 0.0747 | liqThresh: 0.5000
